fecha_inicio,minutos_tique
2024-03-04 14:04:24,111
2024-03-04 16:08:10,23
2024-03-04 16:29:38,7
2024-03-04 12:12:21,113
2024-03-04 13:40:37,63
2024-03-04 17:21:13,70
2024-03-04 12:33:27,18
2024-03-04 09:50:29,240
2024-03-04 09:00:42,70
2024-03-04 16:59:00,91
2024-03-04 15:30:39,6
2024-03-04 12:01:14,47
2024-03-04 18:53:05,120
2024-03-04 17:57:00,9
2024-03-04 09:27:24,143
2024-03-04 10:48:56,16
2024-03-04 16:10:42,90
2024-03-04 13:29:55,7
2024-03-04 18:41:07,13
2024-03-04 09:45:24,44
2024-03-04 19:21:27,96
2024-03-04 10:55:00,60
2024-03-04 19:18:52,90
2024-03-04 19:38:36,90
2024-03-04 16:31:37,39
2024-03-04 09:00:44,137
2024-03-04 17:19:25,43
2024-03-04 11:56:34,30
2024-03-04 20:32:51,20
2024-03-04 15:31:06,240
2024-03-04 18:06:38,33
2024-03-04 19:21:44,99
2024-03-04 18:13:00,33
2024-03-04 11:53:44,60
2024-03-04 11:13:57,64
2024-03-04 18:21:23,65
2024-03-04 09:00:00,7
2024-03-04 19:33:58,10
2024-03-04 18:55:02,56
2024-03-04 10:16:46,137
2024-03-04 12:08:25,63
2024-03-04 19:05:00,18
2024-03-04 10:00:23,185
2024-03-04 12:07:14,119
2024-03-04 18:05:07,23
2024-03-04 11:13:14,40
2024-03-04 13:20:00,41
2024-03-04 12:28:00,34
2024-03-04 19:35:00,78
2024-03-04 14:12:25,113
2024-03-04 18:04:00,64
2024-03-04 10:23:43,120
2024-03-04 10:05:30,16
2024-03-04 18:55:55,68
2024-03-04 17:51:44,130
2024-03-04 18:22:41,39
2024-03-04 15:07:30,27
2024-03-04 18:09:42,93
2024-03-04 09:44:31,285
2024-03-04 09:55:58,120
2024-03-04 11:44:41,23
2024-03-04 11:45:16,29
2024-03-04 19:54:18,64
2024-03-04 09:00:00,189
2024-03-04 20:25:39,15
2024-03-04 09:00:00,11
2024-03-04 17:12:34,65
2024-03-04 17:58:08,87
2024-03-04 09:00:00,34
2024-03-04 17:35:58,47
2024-03-04 09:00:00,60
2024-03-04 11:45:48,49
2024-03-04 10:15:03,16
2024-03-04 15:46:25,30
2024-03-04 18:25:22,74
2024-03-04 13:20:30,60
2024-03-04 13:46:00,29
2024-03-04 15:01:47,16
2024-03-04 17:32:24,11
2024-03-04 17:45:59,95
2024-03-04 09:33:00,31
2024-03-04 17:47:00,85
2024-03-04 14:06:45,192
2024-03-04 11:30:00,60
2024-03-04 17:38:29,83
2024-03-04 19:55:38,63
2024-03-04 16:25:47,99
2024-03-04 09:32:19,135
2024-03-04 17:16:00,47
2024-03-04 10:35:00,55
2024-03-04 12:41:48,45
2024-03-04 09:23:38,240
2024-03-04 20:01:00,14
2024-03-04 18:08:02,76
2024-03-04 09:00:00,29
2024-03-04 19:16:58,30
2024-03-04 09:00:43,50
2024-03-04 12:48:00,15
2024-03-04 10:54:02,9
2024-03-04 16:44:51,11
2024-03-04 12:34:27,30
2024-03-04 11:47:34,10
2024-03-04 17:29:45,94
2024-03-04 13:11:00,9
2024-03-04 10:00:00,117
2024-03-04 19:23:15,24
2024-03-04 15:40:07,33
2024-03-04 17:30:02,16
2024-03-04 18:57:00,35
2024-03-04 19:26:00,88
2024-03-04 17:55:49,30
2024-03-04 14:14:00,150
2024-03-04 09:03:41,46
2024-03-04 13:32:50,94
2024-03-04 09:12:05,7
2024-03-04 12:37:12,85
2024-03-04 19:21:00,6
2024-03-04 16:02:34,70
2024-03-04 13:54:33,176
2024-03-04 17:25:53,59
2024-03-04 20:10:31,48
2024-03-04 13:04:44,121
2024-03-04 11:29:42,61
2024-03-04 13:45:51,434
2024-03-04 09:00:00,16
2024-03-04 11:40:00,29
2024-03-04 09:00:00,120
2024-03-04 17:10:47,75
2024-03-04 13:51:00,84
2024-03-04 18:00:00,23
2024-03-04 13:17:00,65
2024-03-04 18:26:21,69
2024-03-04 09:00:00,60
2024-03-04 09:08:53,59
2024-03-04 16:57:18,114
2024-03-04 18:57:24,120
2024-03-04 16:42:26,98
2024-03-04 14:34:52,20
2024-03-04 20:03:00,48
2024-03-04 09:00:00,39
2024-03-04 17:42:00,123
2024-03-04 09:00:00,99
2024-03-04 13:48:08,63
2024-03-04 13:59:47,30
2024-03-04 16:45:07,27
2024-03-04 15:45:11,19
2024-03-04 16:25:00,107
2024-03-04 12:24:14,16
2024-03-04 10:02:00,19
2024-03-04 10:53:18,60
2024-03-04 11:38:40,60
2024-03-04 18:42:33,117
2024-03-04 09:00:00,9
2024-03-04 09:00:00,240
2024-03-04 20:09:14,57
2024-03-04 12:27:45,30
2024-03-04 18:25:16,75
2024-03-04 17:03:45,119
2024-03-04 19:11:00,20
2024-03-04 09:00:00,46
2024-03-04 20:52:51,5
2024-03-04 09:28:47,154
2024-03-04 09:20:00,14
2024-03-04 12:58:44,50
2024-03-04 13:25:48,93
2024-03-04 14:29:37,32
2024-03-04 17:16:00,30
2024-03-04 18:26:32,121
2024-03-04 11:24:00,120
2024-03-04 13:23:00,32
2024-03-04 13:05:18,30
2024-03-04 19:38:00,25
2024-03-04 13:54:56,70
2024-03-04 09:00:00,30
2024-03-04 11:41:00,70
2024-03-04 20:07:53,23
2024-03-04 18:05:33,85
2024-03-04 18:51:33,90
2024-03-04 20:21:00,14
2024-03-04 09:05:51,117
2024-03-04 17:34:44,7
